key_mode,kernel,N,acc_mean,acc_std,cos_mean,cos_std,snr_mean,snr_std,margin_mean,margin_std
indep,relu,50,1.0,0.0,0.7142373095422814,0.012643000623273013,1.4727790420735323,0.09065621663385454,0.4873792046493044,0.013136755007362473
indep,relu,100,1.0,0.0,0.5788728592670278,0.003653520425137767,0.682647478018384,0.014339431147485092,0.4446174676534992,0.00442098235432032
indep,relu,200,0.999,0.0020000000000000018,0.4446586323477309,0.0014537150978208473,0.32750875284766695,0.003640773109478491,0.4067133822500278,0.006196777556616536
indep,relu,400,1.0,0.0,0.33020919964212686,0.0008473990321343732,0.16164942224992226,0.0005623000159305003,0.37216951774002327,0.002600226674716436
indep,relu,800,1.0,0.0,0.24017508476146063,0.00039354269150565496,0.0807074019103324,0.00024805670340126223,0.3430674163120072,0.00213786785801418
indep,relu,1600,1.0,0.0,0.17205706670143592,0.000200845182686674,0.040117561067899425,5.610815027459969e-05,0.3153895190517364,0.0011857434423285912
indep,exp,50,1.0,0.0,0.31446853992843843,0.0024087554040563303,0.14205846234971925,0.0005993098212461875,0.9295022704952132,0.023047479105400857
indep,exp,100,1.0,0.0,0.22742501388303368,0.0007835776543746082,0.07026626693252136,0.00018420757353877174,0.8560232211364527,0.018798740909127816
indep,exp,200,1.0,0.0,0.1622565047879482,0.0003157284174205706,0.03492642703728144,4.069629101688866e-05,0.7974559049688444,0.00670158816178095
indep,exp,400,1.0,0.0,0.11530936925800954,0.0001045886931840547,0.017395135401802958,2.6506555368793437e-05,0.7465360143917901,0.0020483997259080166
indep,exp,800,1.0,0.0,0.08180734775373341,0.00013626151414744558,0.00868854279156972,4.197859017165045e-06,0.6944501375238794,0.006366917742354104
indep,exp,1600,1.0,0.0,0.05793936220435612,2.7741347776986074e-05,0.004341710412335355,1.308324196860754e-06,0.6477067899094509,0.0019447942104535729
indep,solu,50,1.0,0.0,0.8448318082534261,0.006419414886207684,4.469912883462139,0.23241741655564163,1.5260213439111296,0.040524287355400875
indep,solu,100,1.0,0.0,0.7354822180439525,0.003453932775466156,2.0451521093234986,0.03147094008697003,1.4258593898723795,0.009909222871196163
indep,solu,200,1.0,0.0,0.6097224338565698,0.0021967974781044995,1.0226571508785676,0.005718054700153363,1.337985737055911,0.00897668267866795
indep,solu,400,1.0,0.0,0.47903224615220985,0.0016977433430971087,0.5059208102063508,0.003560420462992584,1.2653187710013367,0.006678939127585403
indep,solu,800,1.0,0.0,0.3586746134413643,0.0005335572799474595,0.25005119215239374,0.0005760626147320891,1.1873610645053803,0.0024290890720197957
indep,solu,1600,1.0,0.0,0.2620285362280515,0.00039464595824082713,0.12510439178954053,0.00016996777668672964,1.1112436813818989,0.003696444864055474
correlated,relu,50,1.0,0.0,0.46965853948590575,0.009486883019940164,0.3132480121483006,0.01836746033904853,0.20592753452139748,0.017585129374693437
correlated,relu,100,0.994,0.008000000000000007,0.34715215853249703,0.006707642174859257,0.15070561645452102,0.006766387589378254,0.15879557149403467,0.01077775409310636
correlated,relu,200,0.9949999999999999,0.003162277660168382,0.2510878272637562,0.0014562110638259255,0.07201804680550057,0.0008907780642870816,0.12196381042466557,0.002852912787814616
correlated,relu,400,0.983,0.010770329614269032,0.17965658217989539,0.003986835504378427,0.035666350230308334,0.001779278488992396,0.09302254228376265,0.006242617695280804
correlated,relu,800,0.96175,0.008753570700005802,0.12855581485969908,0.0013919710366309414,0.017980875913158882,0.0003819172621526971,0.07021137600007193,0.0019536687598365045
correlated,relu,1600,0.933,0.0032451887464367917,0.09076099855211142,0.0009742153184603142,0.00886237268968856,0.00020210137084454682,0.05044534902386757,0.0014720486649500806
correlated,exp,50,0.9960000000000001,0.008000000000000007,0.29407626963022093,0.0036646031543665263,0.11614546089835318,0.003172800974339665,0.45154193359171496,0.028313090902305105
correlated,exp,100,0.9880000000000001,0.004000000000000004,0.21092659833382968,0.0009637616567298597,0.05728353298166504,0.000371785444431512,0.331992729858425,0.013742555014023182
correlated,exp,200,0.994,0.0037416573867739447,0.14967455119998913,0.0006084002559389417,0.027950662226764716,0.00020783546168970298,0.2688326831833931,0.0034888567569475787
correlated,exp,400,0.9845,0.004301162633521302,0.10657000041672629,0.0002554424171120143,0.014048306830203989,6.951290455417795e-05,0.20718506958606858,0.0038439866851549443
correlated,exp,800,0.9615,0.0048347699014534146,0.07525265344493981,0.00022383794764815228,0.00697050198239238,5.075492077771019e-05,0.15369738553869305,0.006042546849039271
correlated,exp,1600,0.9261250000000001,0.011007099981375649,0.05316440830840842,0.0002441444211690274,0.0034650015425756464,4.047018961513867e-05,0.11249968534541248,0.006759393206330339
correlated,solu,50,1.0,0.0,0.5834473571977231,0.014361313806903496,0.694782985173442,0.050670891941270904,0.7655234649034526,0.05254634817944597
correlated,solu,100,0.9960000000000001,0.00489897948556636,0.4463679912460378,0.00948158368472154,0.3232950130440573,0.019866259138078282,0.6233498456543716,0.019020337035246988
correlated,solu,200,0.9870000000000001,0.008717797887081356,0.32579663883606885,0.003543740292564234,0.15158767390524502,0.004547573049756186,0.46390695550191685,0.015418058631851845
correlated,solu,400,0.982,0.0062048368229954435,0.23625769924991857,0.004230805496043278,0.07488136360855227,0.0025421752011945582,0.3686883000094901,0.01744911131535467
correlated,solu,800,0.959,0.005208166663999931,0.16929607509561512,0.0024795258732207164,0.037097783512868854,0.0011916411070238835,0.2854197245151034,0.010108342033721681
correlated,solu,1600,0.9324999999999999,0.008979142498033992,0.11985008334406255,0.002026548419087922,0.01831918752951562,0.0006658378512060148,0.2129102996320341,0.008528706024814741
